Code,Name,Close,Location,Industry,List_date,EPS_2020,EPS_2019,EPS_2018,EPS_2017,EPS_2016,EPS_2015,EPS_2014,EPS_2013,EPS_2012,EPS_2011,EPS_2010,EPS_2009,EPS_2008,EPS_2007,EPS_2006,Profit,AVG_EPS_2016_18,AVG_EPS_2011_13,Net_Asset,Div,Dividend,PE18_20,Div_Rate,Growth,Liquidate_Ratio,Assest_Over_Debt,PB,Mkt_value,,,,,,,,
000001.SZ, 平安银行,18.3900,广东,银行,1991-04-03,1.4000 ,1.4500 ,1.3900 ,1.3000 ,1.3200 ,1.5600 ,1.7300 ,1.8600 ,2.6200 ,2.4700 ,1.9100 ,1.6200 ,0.2000 ,1.2200 ,0.6700 ,1,1.41,2.07,15.1600,是,1,13.01,15.0044,-0.32 ,0.0000,0.0000,1.21,"349,500,586,745.98",1,1,0,1,1,1,1,1
000002.SZ, 万  科Ａ,20.9000,广东,房地产,1991-01-29,3.6200 ,3.4700 ,3.0600 ,2.5400 ,1.9000 ,1.6400 ,1.4300 ,1.3700 ,1.1400 ,0.8800 ,0.6600 ,0.4800 ,0.3700 ,0.7300 ,0.0000 ,1,3.38,1.31,19.3200,是,1,6.18,30.3836,1.58 ,1.1745,0.1996,1.08,"325,296,501,628.00",1,1,0,1,1,1,1,1
000003.SZ, PT金田A,0.0000,广东,-,1991-07-03,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,-0.0390,-0.0400,0.0000 ,0.0000 ,-0.0510,-0.0560,0.0000 ,0.0000 ,0.0000 ,0,0.00,-0.03,0.0000,-,0,10000.00,0.0000,-1.00 ,0.0000,0.0000,#DIV/0!,"903,605,018.06",0,0,0,1,#DIV/0!,1,#DIV/0!,#DIV/0!
000004.SZ, 国华网安,19.9600,广东,医药生物,1991-01-14,0.3915 ,0.0369 ,-0.2414,0.1020 ,0.4680 ,0.0149 ,0.0500 ,-0.0123,0.0239 ,0.0356 ,0.1384 ,0.0294 ,-0.1324,-0.1104,0.0000 ,0,0.06,0.02,8.8263,-,0,320.21,0.0000,2.04 ,5.1956,-2.6317,2.26,"2,588,025,160.00",0,0,1,1,0,1,0,0
000005.SZ, ST星源,2.1700,广东,公用事业,1990-12-10,-0.3660,0.0629 ,0.1406 ,0.0145 ,0.1026 ,-0.0596,0.0472 ,-0.0463,0.0241 ,0.0125 ,0.0050 ,-0.0540,0.0100 ,0.0800 ,0.0000 ,0,-0.05,0.01,1.1714,-,0,10000.00,0.0000,-7.50 ,1.2148,5.0721,1.85,"2,117,073,684.00",0,0,0,1,0,1,0,0
000006.SZ, 深振业Ａ,4.5500,广东,房地产,1992-04-27,0.6405 ,0.5935 ,0.6476 ,0.5968 ,0.5767 ,0.3087 ,0.3763 ,0.5156 ,0.4800 ,0.4388 ,0.6330 ,0.6400 ,0.2962 ,1.0200 ,0.0000 ,1,0.63,0.46,5.4552,是,1,7.25,30.1623,0.37 ,2.8321,1.9984,0.83,"7,289,973,248.40",0,1,1,1,1,1,1,1
000007.SZ, *ST全新,4.2000,广东,商业贸易,1992-04-13,-0.3548,0.0643 ,-0.5700,0.0475 ,0.3378 ,0.0606 ,-0.1307,0.1007 ,0.0378 ,0.0269 ,0.0640 ,0.1413 ,-0.3310,0.0625 ,0.0000 ,0,-0.29,0.00,0.1861,-,0,10000.00,0.0000,-111.32 ,1.2598,-1.2349,22.57,"1,167,529,908.28",0,0,0,1,0,1,0,0
000008.SZ, 神州高铁,2.2700,北京,机械设备,1992-05-07,-0.3300,0.1610 ,0.1160 ,0.3110 ,0.1920 ,0.0780 ,0.0300 ,0.0700 ,0.2600 ,-0.0073,0.0121 ,0.0043 ,0.0100 ,0.0200 ,0.0000 ,1,-0.02,0.12,2.3535,-,0,10000.00,6.2535,-1.15 ,1.3472,0.7948,0.96,"6,312,405,435.42",0,0,0,1,1,1,1,0
000009.SZ, 中国宝安,27.4700,广东,综合,1991-06-25,0.2600 ,0.1200 ,0.1000 ,0.0600 ,0.1100 ,0.5000 ,0.2000 ,0.2300 ,0.1500 ,0.2500 ,0.3000 ,0.2300 ,0.1900 ,0.2400 ,0.0000 ,1,0.16,0.19,2.6837,是,1,171.69,17.1299,-0.17 ,1.8320,0.8177,10.24,"26,204,813,884.40",0,0,0,1,0,1,0,0
000010.SZ, 美丽生态,3.7200,广东,建筑装饰,1995-10-27,0.0486 ,0.0567 ,-0.8922,-1.2947,0.0486 ,0.0542 ,-0.1268,0.0053 ,0.0100 ,0.0300 ,-0.0100,0.0500 ,0.1100 ,-0.2000,0.0000 ,0,-0.26,-0.04,0.5995,-,0,10000.00,0.0000,6.06 ,1.0472,-6.7098,6.21,"3,336,808,681.91",0,0,0,1,0,1,0,0
